"tensor(0.7813, device='cuda:0')",tensor([-10.])
"tensor(0.7824, device='cuda:0')",tensor([-9.9216])
"tensor(0.7835, device='cuda:0')",tensor([-9.8431])
"tensor(0.7846, device='cuda:0')",tensor([-9.7647])
"tensor(0.7858, device='cuda:0')",tensor([-9.6863])
"tensor(0.7871, device='cuda:0')",tensor([-9.6078])
"tensor(0.7883, device='cuda:0')",tensor([-9.5294])
"tensor(0.7896, device='cuda:0')",tensor([-9.4510])
"tensor(0.7910, device='cuda:0')",tensor([-9.3725])
"tensor(0.7924, device='cuda:0')",tensor([-9.2941])
"tensor(0.7938, device='cuda:0')",tensor([-9.2157])
"tensor(0.7952, device='cuda:0')",tensor([-9.1373])
"tensor(0.7968, device='cuda:0')",tensor([-9.0588])
"tensor(0.7983, device='cuda:0')",tensor([-8.9804])
"tensor(0.7999, device='cuda:0')",tensor([-8.9020])
"tensor(0.8016, device='cuda:0')",tensor([-8.8235])
"tensor(0.8032, device='cuda:0')",tensor([-8.7451])
"tensor(0.8050, device='cuda:0')",tensor([-8.6667])
"tensor(0.8068, device='cuda:0')",tensor([-8.5882])
"tensor(0.8086, device='cuda:0')",tensor([-8.5098])
"tensor(0.8105, device='cuda:0')",tensor([-8.4314])
"tensor(0.8124, device='cuda:0')",tensor([-8.3529])
"tensor(0.8143, device='cuda:0')",tensor([-8.2745])
"tensor(0.8164, device='cuda:0')",tensor([-8.1961])
"tensor(0.8184, device='cuda:0')",tensor([-8.1176])
"tensor(0.8205, device='cuda:0')",tensor([-8.0392])
"tensor(0.8227, device='cuda:0')",tensor([-7.9608])
"tensor(0.8249, device='cuda:0')",tensor([-7.8824])
"tensor(0.8272, device='cuda:0')",tensor([-7.8039])
"tensor(0.8295, device='cuda:0')",tensor([-7.7255])
"tensor(0.8318, device='cuda:0')",tensor([-7.6471])
"tensor(0.8342, device='cuda:0')",tensor([-7.5686])
"tensor(0.8367, device='cuda:0')",tensor([-7.4902])
"tensor(0.8392, device='cuda:0')",tensor([-7.4118])
"tensor(0.8417, device='cuda:0')",tensor([-7.3333])
"tensor(0.8443, device='cuda:0')",tensor([-7.2549])
"tensor(0.8469, device='cuda:0')",tensor([-7.1765])
"tensor(0.8495, device='cuda:0')",tensor([-7.0980])
"tensor(0.8522, device='cuda:0')",tensor([-7.0196])
"tensor(0.8549, device='cuda:0')",tensor([-6.9412])
"tensor(0.8577, device='cuda:0')",tensor([-6.8627])
"tensor(0.8605, device='cuda:0')",tensor([-6.7843])
"tensor(0.8633, device='cuda:0')",tensor([-6.7059])
"tensor(0.8661, device='cuda:0')",tensor([-6.6275])
"tensor(0.8690, device='cuda:0')",tensor([-6.5490])
"tensor(0.8718, device='cuda:0')",tensor([-6.4706])
"tensor(0.8747, device='cuda:0')",tensor([-6.3922])
"tensor(0.8776, device='cuda:0')",tensor([-6.3137])
"tensor(0.8805, device='cuda:0')",tensor([-6.2353])
"tensor(0.8835, device='cuda:0')",tensor([-6.1569])
"tensor(0.8864, device='cuda:0')",tensor([-6.0784])
"tensor(0.8893, device='cuda:0')",tensor([-6.])
"tensor(0.8922, device='cuda:0')",tensor([-5.9216])
"tensor(0.8951, device='cuda:0')",tensor([-5.8431])
"tensor(0.8980, device='cuda:0')",tensor([-5.7647])
"tensor(0.9009, device='cuda:0')",tensor([-5.6863])
"tensor(0.9037, device='cuda:0')",tensor([-5.6078])
"tensor(0.9066, device='cuda:0')",tensor([-5.5294])
"tensor(0.9094, device='cuda:0')",tensor([-5.4510])
"tensor(0.9121, device='cuda:0')",tensor([-5.3725])
"tensor(0.9149, device='cuda:0')",tensor([-5.2941])
"tensor(0.9176, device='cuda:0')",tensor([-5.2157])
"tensor(0.9203, device='cuda:0')",tensor([-5.1373])
"tensor(0.9229, device='cuda:0')",tensor([-5.0588])
"tensor(0.9255, device='cuda:0')",tensor([-4.9804])
"tensor(0.9280, device='cuda:0')",tensor([-4.9020])
"tensor(0.9305, device='cuda:0')",tensor([-4.8235])
"tensor(0.9330, device='cuda:0')",tensor([-4.7451])
"tensor(0.9354, device='cuda:0')",tensor([-4.6667])
"tensor(0.9377, device='cuda:0')",tensor([-4.5882])
"tensor(0.9400, device='cuda:0')",tensor([-4.5098])
"tensor(0.9422, device='cuda:0')",tensor([-4.4314])
"tensor(0.9444, device='cuda:0')",tensor([-4.3529])
"tensor(0.9465, device='cuda:0')",tensor([-4.2745])
"tensor(0.9486, device='cuda:0')",tensor([-4.1961])
"tensor(0.9506, device='cuda:0')",tensor([-4.1176])
"tensor(0.9525, device='cuda:0')",tensor([-4.0392])
"tensor(0.9544, device='cuda:0')",tensor([-3.9608])
"tensor(0.9562, device='cuda:0')",tensor([-3.8824])
"tensor(0.9580, device='cuda:0')",tensor([-3.8039])
"tensor(0.9597, device='cuda:0')",tensor([-3.7255])
"tensor(0.9613, device='cuda:0')",tensor([-3.6471])
"tensor(0.9629, device='cuda:0')",tensor([-3.5686])
"tensor(0.9645, device='cuda:0')",tensor([-3.4902])
"tensor(0.9659, device='cuda:0')",tensor([-3.4118])
"tensor(0.9674, device='cuda:0')",tensor([-3.3333])
"tensor(0.9688, device='cuda:0')",tensor([-3.2549])
"tensor(0.9701, device='cuda:0')",tensor([-3.1765])
"tensor(0.9713, device='cuda:0')",tensor([-3.0980])
"tensor(0.9726, device='cuda:0')",tensor([-3.0196])
"tensor(0.9737, device='cuda:0')",tensor([-2.9412])
"tensor(0.9749, device='cuda:0')",tensor([-2.8627])
"tensor(0.9759, device='cuda:0')",tensor([-2.7843])
"tensor(0.9770, device='cuda:0')",tensor([-2.7059])
"tensor(0.9780, device='cuda:0')",tensor([-2.6275])
"tensor(0.9789, device='cuda:0')",tensor([-2.5490])
