tensor(0.9986),tensor([-10.])
tensor(0.9982),tensor([-9.9216])
tensor(0.9977),tensor([-9.8431])
tensor(0.9972),tensor([-9.7647])
tensor(0.9967),tensor([-9.6863])
tensor(0.9961),tensor([-9.6078])
tensor(0.9955),tensor([-9.5294])
tensor(0.9948),tensor([-9.4510])
tensor(0.9941),tensor([-9.3725])
tensor(0.9933),tensor([-9.2941])
tensor(0.9925),tensor([-9.2157])
tensor(0.9916),tensor([-9.1373])
tensor(0.9907),tensor([-9.0588])
tensor(0.9897),tensor([-8.9804])
tensor(0.9887),tensor([-8.9020])
tensor(0.9877),tensor([-8.8235])
tensor(0.9866),tensor([-8.7451])
tensor(0.9854),tensor([-8.6667])
tensor(0.9843),tensor([-8.5882])
tensor(0.9830),tensor([-8.5098])
tensor(0.8819),tensor([-8.4314])
tensor(0.8849),tensor([-8.3529])
tensor(0.8878),tensor([-8.2745])
tensor(0.8907),tensor([-8.1961])
tensor(0.8936),tensor([-8.1176])
tensor(0.8964),tensor([-8.0392])
tensor(0.8992),tensor([-7.9608])
tensor(0.9020),tensor([-7.8824])
tensor(0.9048),tensor([-7.8039])
tensor(0.9075),tensor([-7.7255])
tensor(0.9102),tensor([-7.6471])
tensor(0.9128),tensor([-7.5686])
tensor(0.9154),tensor([-7.4902])
tensor(0.9180),tensor([-7.4118])
tensor(0.9206),tensor([-7.3333])
tensor(0.9231),tensor([-7.2549])
tensor(0.9256),tensor([-7.1765])
tensor(0.9281),tensor([-7.0980])
tensor(0.9305),tensor([-7.0196])
tensor(0.9329),tensor([-6.9412])
tensor(0.9352),tensor([-6.8627])
tensor(0.9375),tensor([-6.7843])
tensor(0.9398),tensor([-6.7059])
tensor(0.9420),tensor([-6.6275])
tensor(0.9442),tensor([-6.5490])
tensor(0.9464),tensor([-6.4706])
tensor(0.9485),tensor([-6.3922])
tensor(0.9506),tensor([-6.3137])
tensor(0.9527),tensor([-6.2353])
tensor(0.9547),tensor([-6.1569])
tensor(0.9566),tensor([-6.0784])
tensor(0.9586),tensor([-6.])
tensor(0.9605),tensor([-5.9216])
tensor(0.9623),tensor([-5.8431])
tensor(0.9641),tensor([-5.7647])
tensor(0.9659),tensor([-5.6863])
tensor(0.9676),tensor([-5.6078])
tensor(0.9693),tensor([-5.5294])
tensor(0.9709),tensor([-5.4510])
tensor(0.9725),tensor([-5.3725])
tensor(0.9741),tensor([-5.2941])
tensor(0.9756),tensor([-5.2157])
tensor(0.9771),tensor([-5.1373])
tensor(0.9785),tensor([-5.0588])
tensor(0.9799),tensor([-4.9804])
tensor(0.9812),tensor([-4.9020])
tensor(0.9825),tensor([-4.8235])
tensor(0.9838),tensor([-4.7451])
tensor(0.9850),tensor([-4.6667])
tensor(0.9861),tensor([-4.5882])
tensor(0.9872),tensor([-4.5098])
tensor(0.9883),tensor([-4.4314])
tensor(0.9893),tensor([-4.3529])
tensor(0.9903),tensor([-4.2745])
tensor(0.9912),tensor([-4.1961])
tensor(0.9921),tensor([-4.1176])
tensor(0.9930),tensor([-4.0392])
tensor(0.9938),tensor([-3.9608])
tensor(0.9945),tensor([-3.8824])
tensor(0.9952),tensor([-3.8039])
tensor(0.9959),tensor([-3.7255])
tensor(0.9965),tensor([-3.6471])
tensor(0.9970),tensor([-3.5686])
tensor(0.9975),tensor([-3.4902])
tensor(0.9980),tensor([-3.4118])
tensor(0.9984),tensor([-3.3333])
tensor(0.9988),tensor([-3.2549])
tensor(0.9991),tensor([-3.1765])
tensor(0.9994),tensor([-3.0980])
tensor(0.9996),tensor([-3.0196])
tensor(0.9998),tensor([-2.9412])
tensor(0.9999),tensor([-2.8627])
tensor(1.0000),tensor([-2.7843])
tensor(1.0000),tensor([-2.7059])
tensor(1.0000),tensor([-2.6275])
tensor(0.9999),tensor([-2.5490])
tensor(0.9998),tensor([-2.4706])
tensor(0.9996),tensor([-2.3922])
tensor(0.9994),tensor([-2.3137])
tensor(0.9992),tensor([-2.2353])
tensor(0.9989),tensor([-2.1569])
tensor(0.9985),tensor([-2.0784])
tensor(0.9981),tensor([-2.])
tensor(0.9977),tensor([-1.9216])
tensor(0.9972),tensor([-1.8431])
tensor(0.9967),tensor([-1.7647])
tensor(0.9961),tensor([-1.6863])
tensor(0.9954),tensor([-1.6078])
tensor(0.9947),tensor([-1.5294])
tensor(0.9940),tensor([-1.4510])
tensor(0.9932),tensor([-1.3725])
tensor(0.9924),tensor([-1.2941])
tensor(0.9916),tensor([-1.2157])
tensor(0.9906),tensor([-1.1373])
tensor(0.9897),tensor([-1.0588])
tensor(0.9887),tensor([-0.9804])
tensor(0.9876),tensor([-0.9020])
tensor(0.9865),tensor([-0.8235])
tensor(0.9854),tensor([-0.7451])
tensor(0.9842),tensor([-0.6667])
tensor(0.8791),tensor([-0.5882])
tensor(0.8821),tensor([-0.5098])
tensor(0.8851),tensor([-0.4314])
tensor(0.8880),tensor([-0.3529])
tensor(0.8909),tensor([-0.2745])
tensor(0.8937),tensor([-0.1961])
tensor(0.8966),tensor([-0.1176])
tensor(0.8994),tensor([-0.0392])
tensor(0.9022),tensor([0.0392])
