"tensor(0.8203, device='cuda:0')",tensor([-10.])
"tensor(0.8210, device='cuda:0')",tensor([-9.9216])
"tensor(0.8218, device='cuda:0')",tensor([-9.8431])
"tensor(0.8225, device='cuda:0')",tensor([-9.7647])
"tensor(0.8233, device='cuda:0')",tensor([-9.6863])
"tensor(0.8241, device='cuda:0')",tensor([-9.6078])
"tensor(0.8249, device='cuda:0')",tensor([-9.5294])
"tensor(0.8258, device='cuda:0')",tensor([-9.4510])
"tensor(0.8266, device='cuda:0')",tensor([-9.3725])
"tensor(0.8275, device='cuda:0')",tensor([-9.2941])
"tensor(0.8284, device='cuda:0')",tensor([-9.2157])
"tensor(0.8294, device='cuda:0')",tensor([-9.1373])
"tensor(0.8303, device='cuda:0')",tensor([-9.0588])
"tensor(0.8313, device='cuda:0')",tensor([-8.9804])
"tensor(0.8324, device='cuda:0')",tensor([-8.9020])
"tensor(0.8334, device='cuda:0')",tensor([-8.8235])
"tensor(0.8345, device='cuda:0')",tensor([-8.7451])
"tensor(0.8356, device='cuda:0')",tensor([-8.6667])
"tensor(0.8367, device='cuda:0')",tensor([-8.5882])
"tensor(0.8379, device='cuda:0')",tensor([-8.5098])
"tensor(0.8391, device='cuda:0')",tensor([-8.4314])
"tensor(0.8403, device='cuda:0')",tensor([-8.3529])
"tensor(0.8416, device='cuda:0')",tensor([-8.2745])
"tensor(0.8429, device='cuda:0')",tensor([-8.1961])
"tensor(0.8442, device='cuda:0')",tensor([-8.1176])
"tensor(0.8456, device='cuda:0')",tensor([-8.0392])
"tensor(0.8469, device='cuda:0')",tensor([-7.9608])
"tensor(0.8484, device='cuda:0')",tensor([-7.8824])
"tensor(0.8498, device='cuda:0')",tensor([-7.8039])
"tensor(0.8513, device='cuda:0')",tensor([-7.7255])
"tensor(0.8528, device='cuda:0')",tensor([-7.6471])
"tensor(0.8544, device='cuda:0')",tensor([-7.5686])
"tensor(0.8560, device='cuda:0')",tensor([-7.4902])
"tensor(0.8576, device='cuda:0')",tensor([-7.4118])
"tensor(0.8592, device='cuda:0')",tensor([-7.3333])
