"tensor(-0.0184, device='cuda:0')",tensor([-1.])
"tensor(-0.0151, device='cuda:0')",tensor([-0.9922])
"tensor(-0.0117, device='cuda:0')",tensor([-0.9843])
"tensor(-0.0081, device='cuda:0')",tensor([-0.9765])
"tensor(-0.0043, device='cuda:0')",tensor([-0.9686])
"tensor(-0.0004, device='cuda:0')",tensor([-0.9608])
"tensor(0.0036, device='cuda:0')",tensor([-0.9529])
"tensor(0.0077, device='cuda:0')",tensor([-0.9451])
"tensor(0.0119, device='cuda:0')",tensor([-0.9373])
"tensor(0.0162, device='cuda:0')",tensor([-0.9294])
"tensor(0.0205, device='cuda:0')",tensor([-0.9216])
"tensor(0.0247, device='cuda:0')",tensor([-0.9137])
"tensor(0.0291, device='cuda:0')",tensor([-0.9059])
"tensor(0.0334, device='cuda:0')",tensor([-0.8980])
"tensor(0.0378, device='cuda:0')",tensor([-0.8902])
"tensor(0.0422, device='cuda:0')",tensor([-0.8824])
"tensor(0.0468, device='cuda:0')",tensor([-0.8745])
"tensor(0.0515, device='cuda:0')",tensor([-0.8667])
"tensor(0.0564, device='cuda:0')",tensor([-0.8588])
"tensor(0.0615, device='cuda:0')",tensor([-0.8510])
"tensor(0.0670, device='cuda:0')",tensor([-0.8431])
"tensor(0.0728, device='cuda:0')",tensor([-0.8353])
"tensor(0.0791, device='cuda:0')",tensor([-0.8275])
"tensor(0.0859, device='cuda:0')",tensor([-0.8196])
"tensor(0.0931, device='cuda:0')",tensor([-0.8118])
"tensor(0.1008, device='cuda:0')",tensor([-0.8039])
"tensor(0.1089, device='cuda:0')",tensor([-0.7961])
"tensor(0.1173, device='cuda:0')",tensor([-0.7882])
"tensor(0.1258, device='cuda:0')",tensor([-0.7804])
"tensor(0.1342, device='cuda:0')",tensor([-0.7725])
"tensor(0.1424, device='cuda:0')",tensor([-0.7647])
"tensor(0.1503, device='cuda:0')",tensor([-0.7569])
"tensor(0.1579, device='cuda:0')",tensor([-0.7490])
"tensor(0.1652, device='cuda:0')",tensor([-0.7412])
"tensor(0.1724, device='cuda:0')",tensor([-0.7333])
"tensor(0.1794, device='cuda:0')",tensor([-0.7255])
"tensor(0.1866, device='cuda:0')",tensor([-0.7176])
"tensor(0.1940, device='cuda:0')",tensor([-0.7098])
"tensor(0.2016, device='cuda:0')",tensor([-0.7020])
"tensor(0.2095, device='cuda:0')",tensor([-0.6941])
"tensor(0.2179, device='cuda:0')",tensor([-0.6863])
"tensor(0.2267, device='cuda:0')",tensor([-0.6784])
"tensor(0.2358, device='cuda:0')",tensor([-0.6706])
"tensor(0.2452, device='cuda:0')",tensor([-0.6627])
"tensor(0.2548, device='cuda:0')",tensor([-0.6549])
"tensor(0.2644, device='cuda:0')",tensor([-0.6471])
"tensor(0.2739, device='cuda:0')",tensor([-0.6392])
"tensor(0.2832, device='cuda:0')",tensor([-0.6314])
"tensor(0.2921, device='cuda:0')",tensor([-0.6235])
"tensor(0.3005, device='cuda:0')",tensor([-0.6157])
"tensor(0.3085, device='cuda:0')",tensor([-0.6078])
"tensor(0.3159, device='cuda:0')",tensor([-0.6000])
"tensor(0.3227, device='cuda:0')",tensor([-0.5922])
"tensor(0.3291, device='cuda:0')",tensor([-0.5843])
"tensor(0.3350, device='cuda:0')",tensor([-0.5765])
"tensor(0.3405, device='cuda:0')",tensor([-0.5686])
"tensor(0.3455, device='cuda:0')",tensor([-0.5608])
"tensor(0.3502, device='cuda:0')",tensor([-0.5529])
"tensor(0.3545, device='cuda:0')",tensor([-0.5451])
"tensor(0.3584, device='cuda:0')",tensor([-0.5373])
"tensor(0.3621, device='cuda:0')",tensor([-0.5294])
"tensor(0.3655, device='cuda:0')",tensor([-0.5216])
"tensor(0.3686, device='cuda:0')",tensor([-0.5137])
"tensor(0.3716, device='cuda:0')",tensor([-0.5059])
"tensor(0.3743, device='cuda:0')",tensor([-0.4980])
"tensor(0.3768, device='cuda:0')",tensor([-0.4902])
"tensor(0.3791, device='cuda:0')",tensor([-0.4824])
"tensor(0.3813, device='cuda:0')",tensor([-0.4745])
"tensor(0.3833, device='cuda:0')",tensor([-0.4667])
"tensor(0.3851, device='cuda:0')",tensor([-0.4588])
"tensor(0.3868, device='cuda:0')",tensor([-0.4510])
"tensor(0.3884, device='cuda:0')",tensor([-0.4431])
"tensor(0.3899, device='cuda:0')",tensor([-0.4353])
"tensor(0.3912, device='cuda:0')",tensor([-0.4275])
"tensor(0.3925, device='cuda:0')",tensor([-0.4196])
"tensor(0.3936, device='cuda:0')",tensor([-0.4118])
"tensor(0.3947, device='cuda:0')",tensor([-0.4039])
"tensor(0.3957, device='cuda:0')",tensor([-0.3961])
"tensor(0.3966, device='cuda:0')",tensor([-0.3882])
"tensor(0.3975, device='cuda:0')",tensor([-0.3804])
"tensor(0.3983, device='cuda:0')",tensor([-0.3725])
"tensor(0.3991, device='cuda:0')",tensor([-0.3647])
"tensor(0.4000, device='cuda:0')",tensor([-0.3569])
"tensor(0.4009, device='cuda:0')",tensor([-0.3490])
"tensor(0.4019, device='cuda:0')",tensor([-0.3412])
"tensor(0.4031, device='cuda:0')",tensor([-0.3333])
"tensor(0.4045, device='cuda:0')",tensor([-0.3255])
"tensor(0.4062, device='cuda:0')",tensor([-0.3176])
"tensor(0.4080, device='cuda:0')",tensor([-0.3098])
"tensor(0.4101, device='cuda:0')",tensor([-0.3020])
"tensor(0.4120, device='cuda:0')",tensor([-0.2941])
"tensor(0.4134, device='cuda:0')",tensor([-0.2863])
"tensor(0.4141, device='cuda:0')",tensor([-0.2784])
"tensor(0.4139, device='cuda:0')",tensor([-0.2706])
"tensor(0.4128, device='cuda:0')",tensor([-0.2627])
"tensor(0.4110, device='cuda:0')",tensor([-0.2549])
"tensor(0.4085, device='cuda:0')",tensor([-0.2471])
"tensor(0.4054, device='cuda:0')",tensor([-0.2392])
"tensor(0.4019, device='cuda:0')",tensor([-0.2314])
"tensor(0.3979, device='cuda:0')",tensor([-0.2235])
"tensor(0.3932, device='cuda:0')",tensor([-0.2157])
"tensor(0.3876, device='cuda:0')",tensor([-0.2078])
"tensor(0.3810, device='cuda:0')",tensor([-0.2000])
"tensor(0.3731, device='cuda:0')",tensor([-0.1922])
"tensor(0.3636, device='cuda:0')",tensor([-0.1843])
"tensor(0.3526, device='cuda:0')",tensor([-0.1765])
"tensor(0.3400, device='cuda:0')",tensor([-0.1686])
"tensor(0.3260, device='cuda:0')",tensor([-0.1608])
"tensor(0.3108, device='cuda:0')",tensor([-0.1529])
