tensor(1.1755e-16),tensor([-1.])
tensor(0.0109),tensor([-0.9922])
tensor(0.0218),tensor([-0.9843])
tensor(0.0327),tensor([-0.9765])
tensor(0.0436),tensor([-0.9686])
tensor(0.0544),tensor([-0.9608])
tensor(0.0653),tensor([-0.9529])
tensor(0.0762),tensor([-0.9451])
tensor(0.0871),tensor([-0.9373])
tensor(0.0980),tensor([-0.9294])
tensor(0.1088),tensor([-0.9216])
tensor(0.1197),tensor([-0.9137])
tensor(0.1305),tensor([-0.9059])
tensor(0.1414),tensor([-0.8980])
tensor(0.1522),tensor([-0.8902])
tensor(0.1630),tensor([-0.8824])
tensor(0.1739),tensor([-0.8745])
tensor(0.1847),tensor([-0.8667])
tensor(0.1955),tensor([-0.8588])
tensor(0.2063),tensor([-0.8510])
tensor(0.2170),tensor([-0.8431])
tensor(0.2278),tensor([-0.8353])
tensor(0.2386),tensor([-0.8275])
tensor(0.2493),tensor([-0.8196])
tensor(0.2600),tensor([-0.8118])
tensor(0.2707),tensor([-0.8039])
tensor(0.2814),tensor([-0.7961])
tensor(0.2921),tensor([-0.7882])
tensor(0.3028),tensor([-0.7804])
tensor(0.3134),tensor([-0.7725])
tensor(0.3240),tensor([-0.7647])
tensor(0.3347),tensor([-0.7569])
tensor(0.3452),tensor([-0.7490])
tensor(0.3558),tensor([-0.7412])
tensor(0.3664),tensor([-0.7333])
tensor(0.3769),tensor([-0.7255])
tensor(0.3874),tensor([-0.7176])
tensor(0.3978),tensor([-0.7098])
tensor(0.4083),tensor([-0.7020])
tensor(0.4187),tensor([-0.6941])
tensor(0.4291),tensor([-0.6863])
tensor(0.4395),tensor([-0.6784])
tensor(0.4498),tensor([-0.6706])
tensor(0.4602),tensor([-0.6627])
tensor(0.4704),tensor([-0.6549])
tensor(0.4807),tensor([-0.6471])
tensor(0.4909),tensor([-0.6392])
tensor(0.5011),tensor([-0.6314])
tensor(0.5112),tensor([-0.6235])
tensor(0.5214),tensor([-0.6157])
tensor(0.5314),tensor([-0.6078])
tensor(0.5415),tensor([-0.6000])
tensor(0.5515),tensor([-0.5922])
tensor(0.5615),tensor([-0.5843])
tensor(0.5714),tensor([-0.5765])
tensor(0.5813),tensor([-0.5686])
tensor(0.5911),tensor([-0.5608])
tensor(0.6009),tensor([-0.5529])
tensor(0.6106),tensor([-0.5451])
tensor(0.6203),tensor([-0.5373])
tensor(0.6300),tensor([-0.5294])
tensor(0.6396),tensor([-0.5216])
tensor(0.6491),tensor([-0.5137])
tensor(0.6586),tensor([-0.5059])
tensor(0.6680),tensor([-0.4980])
tensor(0.6774),tensor([-0.4902])
tensor(0.6867),tensor([-0.4824])
tensor(0.6960),tensor([-0.4745])
tensor(0.7052),tensor([-0.4667])
tensor(0.7143),tensor([-0.4588])
tensor(0.7233),tensor([-0.4510])
tensor(0.7323),tensor([-0.4431])
tensor(0.7412),tensor([-0.4353])
tensor(0.7501),tensor([-0.4275])
tensor(0.7588),tensor([-0.4196])
tensor(0.7675),tensor([-0.4118])
tensor(0.7761),tensor([-0.4039])
tensor(0.7846),tensor([-0.3961])
tensor(0.7931),tensor([-0.3882])
tensor(0.8014),tensor([-0.3804])
tensor(0.8096),tensor([-0.3725])
tensor(0.8178),tensor([-0.3647])
tensor(0.8258),tensor([-0.3569])
tensor(0.8338),tensor([-0.3490])
tensor(0.8416),tensor([-0.3412])
tensor(0.8493),tensor([-0.3333])
tensor(0.8569),tensor([-0.3255])
tensor(0.8643),tensor([-0.3176])
tensor(0.8717),tensor([-0.3098])
tensor(0.8789),tensor([-0.3020])
tensor(0.8859),tensor([-0.2941])
tensor(0.8929),tensor([-0.2863])
tensor(0.8996),tensor([-0.2784])
tensor(0.9062),tensor([-0.2706])
tensor(0.9127),tensor([-0.2627])
tensor(0.9189),tensor([-0.2549])
tensor(0.9250),tensor([-0.2471])
tensor(0.9309),tensor([-0.2392])
tensor(0.9366),tensor([-0.2314])
tensor(0.9421),tensor([-0.2235])
tensor(0.9473),tensor([-0.2157])
tensor(0.9523),tensor([-0.2078])
tensor(0.9571),tensor([-0.2000])
tensor(0.9616),tensor([-0.1922])
tensor(0.9658),tensor([-0.1843])
tensor(0.9697),tensor([-0.1765])
tensor(0.9733),tensor([-0.1686])
tensor(0.9766),tensor([-0.1608])
tensor(0.9795),tensor([-0.1529])
tensor(0.9820),tensor([-0.1451])
tensor(0.9840),tensor([-0.1373])
tensor(0.9856),tensor([-0.1294])
tensor(0.9868),tensor([-0.1216])
tensor(0.9873),tensor([-0.1137])
tensor(0.9873),tensor([-0.1059])
tensor(0.9866),tensor([-0.0980])
tensor(0.9852),tensor([-0.0902])
tensor(0.9829),tensor([-0.0824])
tensor(0.9797),tensor([-0.0745])
tensor(0.9755),tensor([-0.0667])
tensor(0.9700),tensor([-0.0588])
tensor(0.9630),tensor([-0.0510])
tensor(0.9542),tensor([-0.0431])
tensor(0.9431),tensor([-0.0353])
tensor(0.9280),tensor([-0.0275])
tensor(0.9016),tensor([-0.0196])
tensor(0.8153),tensor([-0.0118])
tensor(0.4170),tensor([-0.0039])
tensor(-0.4170),tensor([0.0039])
tensor(-0.8153),tensor([0.0118])
tensor(-0.9016),tensor([0.0196])
tensor(-0.9280),tensor([0.0275])
tensor(-0.9431),tensor([0.0353])
tensor(-0.9542),tensor([0.0431])
tensor(-0.9630),tensor([0.0510])
tensor(-0.9700),tensor([0.0588])
tensor(-0.9755),tensor([0.0667])
tensor(-0.9797),tensor([0.0745])
tensor(-0.9829),tensor([0.0824])
tensor(-0.9852),tensor([0.0902])
tensor(-0.9866),tensor([0.0980])
tensor(-0.9873),tensor([0.1059])
tensor(-0.9873),tensor([0.1137])
tensor(-0.9868),tensor([0.1216])
tensor(-0.9856),tensor([0.1294])
tensor(-0.9840),tensor([0.1373])
tensor(-0.9820),tensor([0.1451])
tensor(-0.9795),tensor([0.1529])
tensor(-0.9766),tensor([0.1608])
tensor(-0.9733),tensor([0.1686])
