"tensor(0.0134, device='cuda:0')",tensor([-1.])
"tensor(0.0224, device='cuda:0')",tensor([-0.9922])
"tensor(0.0324, device='cuda:0')",tensor([-0.9843])
"tensor(0.0434, device='cuda:0')",tensor([-0.9765])
"tensor(0.0552, device='cuda:0')",tensor([-0.9686])
"tensor(0.0674, device='cuda:0')",tensor([-0.9608])
"tensor(0.0801, device='cuda:0')",tensor([-0.9529])
"tensor(0.0928, device='cuda:0')",tensor([-0.9451])
"tensor(0.1055, device='cuda:0')",tensor([-0.9373])
"tensor(0.1182, device='cuda:0')",tensor([-0.9294])
"tensor(0.1306, device='cuda:0')",tensor([-0.9216])
"tensor(0.1427, device='cuda:0')",tensor([-0.9137])
"tensor(0.1544, device='cuda:0')",tensor([-0.9059])
"tensor(0.1658, device='cuda:0')",tensor([-0.8980])
"tensor(0.1768, device='cuda:0')",tensor([-0.8902])
"tensor(0.1873, device='cuda:0')",tensor([-0.8824])
"tensor(0.1973, device='cuda:0')",tensor([-0.8745])
"tensor(0.2068, device='cuda:0')",tensor([-0.8667])
"tensor(0.2157, device='cuda:0')",tensor([-0.8588])
"tensor(0.2241, device='cuda:0')",tensor([-0.8510])
"tensor(0.2320, device='cuda:0')",tensor([-0.8431])
"tensor(0.2393, device='cuda:0')",tensor([-0.8353])
"tensor(0.2461, device='cuda:0')",tensor([-0.8275])
"tensor(0.2524, device='cuda:0')",tensor([-0.8196])
"tensor(0.2581, device='cuda:0')",tensor([-0.8118])
"tensor(0.2634, device='cuda:0')",tensor([-0.8039])
"tensor(0.2683, device='cuda:0')",tensor([-0.7961])
"tensor(0.2727, device='cuda:0')",tensor([-0.7882])
"tensor(0.2767, device='cuda:0')",tensor([-0.7804])
"tensor(0.2803, device='cuda:0')",tensor([-0.7725])
"tensor(0.2836, device='cuda:0')",tensor([-0.7647])
"tensor(0.2865, device='cuda:0')",tensor([-0.7569])
"tensor(0.2892, device='cuda:0')",tensor([-0.7490])
"tensor(0.2916, device='cuda:0')",tensor([-0.7412])
"tensor(0.2937, device='cuda:0')",tensor([-0.7333])
"tensor(0.2956, device='cuda:0')",tensor([-0.7255])
"tensor(0.2973, device='cuda:0')",tensor([-0.7176])
"tensor(0.2988, device='cuda:0')",tensor([-0.7098])
"tensor(0.3001, device='cuda:0')",tensor([-0.7020])
"tensor(0.3013, device='cuda:0')",tensor([-0.6941])
"tensor(0.3022, device='cuda:0')",tensor([-0.6863])
"tensor(0.3031, device='cuda:0')",tensor([-0.6784])
"tensor(0.3038, device='cuda:0')",tensor([-0.6706])
"tensor(0.3044, device='cuda:0')",tensor([-0.6627])
"tensor(0.3049, device='cuda:0')",tensor([-0.6549])
"tensor(0.3053, device='cuda:0')",tensor([-0.6471])
"tensor(0.3056, device='cuda:0')",tensor([-0.6392])
"tensor(0.3058, device='cuda:0')",tensor([-0.6314])
"tensor(0.3060, device='cuda:0')",tensor([-0.6235])
"tensor(0.3060, device='cuda:0')",tensor([-0.6157])
"tensor(0.3060, device='cuda:0')",tensor([-0.6078])
"tensor(0.3060, device='cuda:0')",tensor([-0.6000])
"tensor(0.3059, device='cuda:0')",tensor([-0.5922])
"tensor(0.3057, device='cuda:0')",tensor([-0.5843])
"tensor(0.3055, device='cuda:0')",tensor([-0.5765])
"tensor(0.3053, device='cuda:0')",tensor([-0.5686])
"tensor(0.3050, device='cuda:0')",tensor([-0.5608])
"tensor(0.3047, device='cuda:0')",tensor([-0.5529])
"tensor(0.3044, device='cuda:0')",tensor([-0.5451])
"tensor(0.3041, device='cuda:0')",tensor([-0.5373])
"tensor(0.3037, device='cuda:0')",tensor([-0.5294])
"tensor(0.3033, device='cuda:0')",tensor([-0.5216])
"tensor(0.3029, device='cuda:0')",tensor([-0.5137])
"tensor(0.3025, device='cuda:0')",tensor([-0.5059])
"tensor(0.3020, device='cuda:0')",tensor([-0.4980])
"tensor(0.3016, device='cuda:0')",tensor([-0.4902])
"tensor(0.3011, device='cuda:0')",tensor([-0.4824])
"tensor(0.3006, device='cuda:0')",tensor([-0.4745])
"tensor(0.3002, device='cuda:0')",tensor([-0.4667])
"tensor(0.2997, device='cuda:0')",tensor([-0.4588])
"tensor(0.2992, device='cuda:0')",tensor([-0.4510])
"tensor(0.2987, device='cuda:0')",tensor([-0.4431])
"tensor(0.2982, device='cuda:0')",tensor([-0.4353])
"tensor(0.2976, device='cuda:0')",tensor([-0.4275])
"tensor(0.2970, device='cuda:0')",tensor([-0.4196])
"tensor(0.2964, device='cuda:0')",tensor([-0.4118])
"tensor(0.2957, device='cuda:0')",tensor([-0.4039])
"tensor(0.2950, device='cuda:0')",tensor([-0.3961])
"tensor(0.2941, device='cuda:0')",tensor([-0.3882])
"tensor(0.2931, device='cuda:0')",tensor([-0.3804])
"tensor(0.2920, device='cuda:0')",tensor([-0.3725])
"tensor(0.2907, device='cuda:0')",tensor([-0.3647])
"tensor(0.2892, device='cuda:0')",tensor([-0.3569])
"tensor(0.2875, device='cuda:0')",tensor([-0.3490])
"tensor(0.2856, device='cuda:0')",tensor([-0.3412])
"tensor(0.2834, device='cuda:0')",tensor([-0.3333])
"tensor(0.2810, device='cuda:0')",tensor([-0.3255])
"tensor(0.2783, device='cuda:0')",tensor([-0.3176])
"tensor(0.2754, device='cuda:0')",tensor([-0.3098])
"tensor(0.2723, device='cuda:0')",tensor([-0.3020])
"tensor(0.2690, device='cuda:0')",tensor([-0.2941])
"tensor(0.2656, device='cuda:0')",tensor([-0.2863])
"tensor(0.2622, device='cuda:0')",tensor([-0.2784])
"tensor(0.2586, device='cuda:0')",tensor([-0.2706])
"tensor(0.2550, device='cuda:0')",tensor([-0.2627])
"tensor(0.2514, device='cuda:0')",tensor([-0.2549])
"tensor(0.2478, device='cuda:0')",tensor([-0.2471])
"tensor(0.2443, device='cuda:0')",tensor([-0.2392])
"tensor(0.2407, device='cuda:0')",tensor([-0.2314])
"tensor(0.2372, device='cuda:0')",tensor([-0.2235])
"tensor(0.2337, device='cuda:0')",tensor([-0.2157])
"tensor(0.2302, device='cuda:0')",tensor([-0.2078])
"tensor(0.2267, device='cuda:0')",tensor([-0.2000])
"tensor(0.2233, device='cuda:0')",tensor([-0.1922])
"tensor(0.2198, device='cuda:0')",tensor([-0.1843])
"tensor(0.2163, device='cuda:0')",tensor([-0.1765])
"tensor(0.2129, device='cuda:0')",tensor([-0.1686])
"tensor(0.2093, device='cuda:0')",tensor([-0.1608])
"tensor(0.2058, device='cuda:0')",tensor([-0.1529])
"tensor(0.2021, device='cuda:0')",tensor([-0.1451])
"tensor(0.1982, device='cuda:0')",tensor([-0.1373])
"tensor(0.1941, device='cuda:0')",tensor([-0.1294])
"tensor(0.1898, device='cuda:0')",tensor([-0.1216])
"tensor(0.1851, device='cuda:0')",tensor([-0.1137])
