"tensor(0.6727, device='cuda:0')",tensor([-10.])
"tensor(0.6743, device='cuda:0')",tensor([-9.9216])
"tensor(0.6759, device='cuda:0')",tensor([-9.8431])
"tensor(0.6776, device='cuda:0')",tensor([-9.7647])
"tensor(0.6792, device='cuda:0')",tensor([-9.6863])
"tensor(0.6809, device='cuda:0')",tensor([-9.6078])
"tensor(0.6826, device='cuda:0')",tensor([-9.5294])
"tensor(0.6844, device='cuda:0')",tensor([-9.4510])
"tensor(0.6861, device='cuda:0')",tensor([-9.3725])
"tensor(0.6879, device='cuda:0')",tensor([-9.2941])
"tensor(0.6897, device='cuda:0')",tensor([-9.2157])
"tensor(0.6916, device='cuda:0')",tensor([-9.1373])
"tensor(0.6934, device='cuda:0')",tensor([-9.0588])
"tensor(0.6953, device='cuda:0')",tensor([-8.9804])
"tensor(0.6972, device='cuda:0')",tensor([-8.9020])
"tensor(0.6991, device='cuda:0')",tensor([-8.8235])
"tensor(0.7011, device='cuda:0')",tensor([-8.7451])
"tensor(0.7031, device='cuda:0')",tensor([-8.6667])
"tensor(0.7051, device='cuda:0')",tensor([-8.5882])
"tensor(0.7071, device='cuda:0')",tensor([-8.5098])
"tensor(0.7091, device='cuda:0')",tensor([-8.4314])
"tensor(0.7112, device='cuda:0')",tensor([-8.3529])
"tensor(0.7133, device='cuda:0')",tensor([-8.2745])
"tensor(0.7154, device='cuda:0')",tensor([-8.1961])
"tensor(0.7176, device='cuda:0')",tensor([-8.1176])
"tensor(0.7197, device='cuda:0')",tensor([-8.0392])
"tensor(0.7219, device='cuda:0')",tensor([-7.9608])
"tensor(0.7241, device='cuda:0')",tensor([-7.8824])
"tensor(0.7264, device='cuda:0')",tensor([-7.8039])
"tensor(0.7286, device='cuda:0')",tensor([-7.7255])
"tensor(0.7309, device='cuda:0')",tensor([-7.6471])
"tensor(0.7332, device='cuda:0')",tensor([-7.5686])
"tensor(0.7355, device='cuda:0')",tensor([-7.4902])
"tensor(0.7378, device='cuda:0')",tensor([-7.4118])
"tensor(0.7402, device='cuda:0')",tensor([-7.3333])
"tensor(0.7426, device='cuda:0')",tensor([-7.2549])
"tensor(0.7450, device='cuda:0')",tensor([-7.1765])
"tensor(0.7474, device='cuda:0')",tensor([-7.0980])
"tensor(0.7498, device='cuda:0')",tensor([-7.0196])
"tensor(0.7523, device='cuda:0')",tensor([-6.9412])
"tensor(0.7548, device='cuda:0')",tensor([-6.8627])
"tensor(0.7573, device='cuda:0')",tensor([-6.7843])
"tensor(0.7598, device='cuda:0')",tensor([-6.7059])
"tensor(0.7623, device='cuda:0')",tensor([-6.6275])
"tensor(0.7649, device='cuda:0')",tensor([-6.5490])
"tensor(0.7674, device='cuda:0')",tensor([-6.4706])
"tensor(0.7700, device='cuda:0')",tensor([-6.3922])
"tensor(0.7726, device='cuda:0')",tensor([-6.3137])
"tensor(0.7752, device='cuda:0')",tensor([-6.2353])
"tensor(0.7779, device='cuda:0')",tensor([-6.1569])
"tensor(0.7805, device='cuda:0')",tensor([-6.0784])
"tensor(0.7832, device='cuda:0')",tensor([-6.])
