tensor(1.0389e-05),"[tensor(0.9647), tensor(0.5922)]"
tensor(0.0044),"[tensor(0.6275), tensor(0.5608)]"
tensor(0.0017),"[tensor(0.0588), tensor(0.5843)]"
tensor(0.0759),"[tensor(0.5686), tensor(0.3647)]"
tensor(0.0001),"[tensor(0.4667), tensor(0.7882)]"
tensor(0.0076),"[tensor(0.7373), tensor(0.4157)]"
tensor(0.0859),"[tensor(0.2471), tensor(0.4039)]"
tensor(0.0002),"[tensor(0.7765), tensor(0.6235)]"
tensor(0.0002),"[tensor(0.0118), tensor(0.6588)]"
tensor(0.0003),"[tensor(0.9725), tensor(0.0588)]"
tensor(0.3648),"[tensor(0.3569), tensor(0.2039)]"
tensor(6.4696e-06),"[tensor(0.2196), tensor(0.8941)]"
tensor(0.0002),"[tensor(0.9922), tensor(0.2588)]"
tensor(0.0042),"[tensor(0.8510), tensor(0.2039)]"
tensor(7.6645e-07),"[tensor(0.3020), tensor(0.9765)]"
tensor(0.0006),"[tensor(0.4392), tensor(0.7255)]"
tensor(0.2023),"[tensor(0.2235), tensor(0.0431)]"
tensor(1.2334e-06),"[tensor(0.2353), tensor(0.9529)]"
tensor(0.0021),"[tensor(0.6235), tensor(0.6078)]"
tensor(0.1043),"[tensor(0.4000), tensor(0.4118)]"
tensor(0.3558),"[tensor(0.3059), tensor(0.1529)]"
tensor(0.2314),"[tensor(0.5020), tensor(0.0588)]"
tensor(0.0476),"[tensor(0.4824), tensor(0.4627)]"
tensor(2.8125e-05),"[tensor(0.7843), tensor(0.7216)]"
tensor(0.0817),"[tensor(0.1412), tensor(0.3216)]"
tensor(1.7662e-05),"[tensor(0.2235), tensor(0.8588)]"
tensor(0.0006),"[tensor(0.3608), tensor(0.7294)]"
tensor(1.6096e-05),"[tensor(0.2078), tensor(0.8588)]"
tensor(0.0022),"[tensor(0.8706), tensor(0.2824)]"
tensor(0.0246),"[tensor(0.3333), tensor(0.5294)]"
tensor(3.5474e-05),"[tensor(0.5529), tensor(0.8235)]"
tensor(0.0059),"[tensor(0.8235), tensor(0.2588)]"
tensor(0.0102),"[tensor(0.6431), tensor(0.4902)]"
tensor(2.2631e-06),"[tensor(0.0039), tensor(0.8549)]"
tensor(4.6290e-07),"[tensor(0.5255), tensor(0.9804)]"
tensor(0.1560),"[tensor(0.4157), tensor(0.3647)]"
tensor(0.0705),"[tensor(0.4118), tensor(0.4471)]"
tensor(0.1211),"[tensor(0.4863), tensor(0.3686)]"
tensor(0.0159),"[tensor(0.7647), tensor(0.0549)]"
tensor(0.0003),"[tensor(0.8863), tensor(0.4824)]"
tensor(6.5665e-05),"[tensor(0.3294), tensor(0.8235)]"
tensor(2.0872e-06),"[tensor(0.4941), tensor(0.9373)]"
tensor(0.1408),"[tensor(0.5882), tensor(0.2196)]"
tensor(8.9774e-07),"[tensor(0.5176), tensor(0.9608)]"
tensor(0.2728),"[tensor(0.3137), tensor(0.2745)]"
tensor(0.0204),"[tensor(0.5529), tensor(0.4980)]"
tensor(0.1091),"[tensor(0.3451), tensor(0.4078)]"
tensor(0.2377),"[tensor(0.2784), tensor(0.2824)]"
tensor(4.3172e-07),"[tensor(0.7098), tensor(0.9255)]"
tensor(0.0106),"[tensor(0.7569), tensor(0.3451)]"
tensor(7.3264e-07),"[tensor(0.2078), tensor(0.9647)]"
tensor(0.0108),"[tensor(0.3765), tensor(0.5843)]"
tensor(0.0658),"[tensor(0.6549), tensor(0.2549)]"
tensor(8.8302e-06),"[tensor(0.9882), tensor(0.5686)]"
tensor(0.0759),"[tensor(0.3529), tensor(0.4431)]"
tensor(9.5946e-06),"[tensor(0.1059), tensor(0.8471)]"
tensor(0.0523),"[tensor(0.3490), tensor(0.4745)]"
tensor(0.0054),"[tensor(0.6471), tensor(0.5333)]"
tensor(0.0032),"[tensor(0.3333), tensor(0.6510)]"
tensor(0.0108),"[tensor(0.4510), tensor(0.5765)]"
tensor(2.5642e-06),"[tensor(0.9451), tensor(0.6902)]"
tensor(5.4725e-05),"[tensor(0.8549), tensor(0.6275)]"
tensor(0.0006),"[tensor(0.9333), tensor(0.2824)]"
