"tensor(0.1371, device='cuda:0')",tensor([-1.])
"tensor(-0.0690, device='cuda:0')",tensor([-0.9922])
"tensor(0.3684, device='cuda:0')",tensor([-0.9843])
"tensor(0.1353, device='cuda:0')",tensor([-0.9765])
"tensor(-0.0605, device='cuda:0')",tensor([-0.9686])
"tensor(0.6305, device='cuda:0')",tensor([-0.9608])
"tensor(-0.1011, device='cuda:0')",tensor([-0.9529])
"tensor(-0.1248, device='cuda:0')",tensor([-0.9451])
"tensor(-0.1349, device='cuda:0')",tensor([-0.9373])
"tensor(0.1719, device='cuda:0')",tensor([-0.9294])
"tensor(0.0674, device='cuda:0')",tensor([-0.9216])
"tensor(-0.1942, device='cuda:0')",tensor([-0.9137])
"tensor(-0.1300, device='cuda:0')",tensor([-0.9059])
"tensor(0.3577, device='cuda:0')",tensor([-0.8980])
"tensor(0.1013, device='cuda:0')",tensor([-0.8902])
"tensor(-0.0885, device='cuda:0')",tensor([-0.8824])
"tensor(-0.1160, device='cuda:0')",tensor([-0.8745])
"tensor(0.1538, device='cuda:0')",tensor([-0.8667])
"tensor(0.3700, device='cuda:0')",tensor([-0.8588])
"tensor(0.3245, device='cuda:0')",tensor([-0.8510])
"tensor(-0.0900, device='cuda:0')",tensor([-0.8431])
"tensor(0.5817, device='cuda:0')",tensor([-0.8353])
"tensor(-0.4767, device='cuda:0')",tensor([-0.8275])
"tensor(0.1107, device='cuda:0')",tensor([-0.8196])
"tensor(0.2790, device='cuda:0')",tensor([-0.8118])
"tensor(-0.1704, device='cuda:0')",tensor([-0.8039])
"tensor(-0.0094, device='cuda:0')",tensor([-0.7961])
"tensor(0.1896, device='cuda:0')",tensor([-0.7882])
"tensor(0.2247, device='cuda:0')",tensor([-0.7804])
"tensor(0.2060, device='cuda:0')",tensor([-0.7725])
"tensor(0.2138, device='cuda:0')",tensor([-0.7647])
"tensor(0.0220, device='cuda:0')",tensor([-0.7569])
"tensor(-0.3252, device='cuda:0')",tensor([-0.7490])
"tensor(0.2467, device='cuda:0')",tensor([-0.7412])
"tensor(-0.1479, device='cuda:0')",tensor([-0.7333])
"tensor(0.1784, device='cuda:0')",tensor([-0.7255])
"tensor(-0.6054, device='cuda:0')",tensor([-0.7176])
"tensor(0.2694, device='cuda:0')",tensor([-0.7098])
"tensor(-0.6035, device='cuda:0')",tensor([-0.7020])
"tensor(-0.0759, device='cuda:0')",tensor([-0.6941])
"tensor(-0.0547, device='cuda:0')",tensor([-0.6863])
"tensor(0.7569, device='cuda:0')",tensor([-0.6784])
"tensor(-0.8780, device='cuda:0')",tensor([-0.6706])
"tensor(0.2660, device='cuda:0')",tensor([-0.6627])
"tensor(-0.6381, device='cuda:0')",tensor([-0.6549])
"tensor(-0.4772, device='cuda:0')",tensor([-0.6471])
"tensor(-0.2533, device='cuda:0')",tensor([-0.6392])
"tensor(-0.2972, device='cuda:0')",tensor([-0.6314])
"tensor(0.3275, device='cuda:0')",tensor([-0.6235])
"tensor(0.1117, device='cuda:0')",tensor([-0.6157])
"tensor(0.7081, device='cuda:0')",tensor([-0.6078])
"tensor(-0.2725, device='cuda:0')",tensor([-0.6000])
"tensor(-0.6179, device='cuda:0')",tensor([-0.5922])
"tensor(0.4044, device='cuda:0')",tensor([-0.5843])
"tensor(-0.3416, device='cuda:0')",tensor([-0.5765])
"tensor(-0.0234, device='cuda:0')",tensor([-0.5686])
"tensor(-0.1460, device='cuda:0')",tensor([-0.5608])
"tensor(-0.1923, device='cuda:0')",tensor([-0.5529])
"tensor(0.1964, device='cuda:0')",tensor([-0.5451])
"tensor(-0.5356, device='cuda:0')",tensor([-0.5373])
"tensor(0.4225, device='cuda:0')",tensor([-0.5294])
"tensor(-0.0946, device='cuda:0')",tensor([-0.5216])
"tensor(0.1235, device='cuda:0')",tensor([-0.5137])
"tensor(0.0201, device='cuda:0')",tensor([-0.5059])
"tensor(-0.2150, device='cuda:0')",tensor([-0.4980])
"tensor(-0.1957, device='cuda:0')",tensor([-0.4902])
"tensor(0.1040, device='cuda:0')",tensor([-0.4824])
"tensor(-0.3419, device='cuda:0')",tensor([-0.4745])
"tensor(-0.0827, device='cuda:0')",tensor([-0.4667])
"tensor(0.3918, device='cuda:0')",tensor([-0.4588])
"tensor(0.9489, device='cuda:0')",tensor([-0.4510])
"tensor(-0.3408, device='cuda:0')",tensor([-0.4431])
"tensor(0.1411, device='cuda:0')",tensor([-0.4353])
"tensor(0.3065, device='cuda:0')",tensor([-0.4275])
"tensor(0.2998, device='cuda:0')",tensor([-0.4196])
"tensor(-0.1410, device='cuda:0')",tensor([-0.4118])
"tensor(0.4922, device='cuda:0')",tensor([-0.4039])
"tensor(-0.0951, device='cuda:0')",tensor([-0.3961])
"tensor(-0.0416, device='cuda:0')",tensor([-0.3882])
"tensor(-0.5290, device='cuda:0')",tensor([-0.3804])
"tensor(-0.0495, device='cuda:0')",tensor([-0.3725])
"tensor(0.5546, device='cuda:0')",tensor([-0.3647])
"tensor(0.2586, device='cuda:0')",tensor([-0.3569])
"tensor(0.5148, device='cuda:0')",tensor([-0.3490])
"tensor(0.0047, device='cuda:0')",tensor([-0.3412])
"tensor(0.2311, device='cuda:0')",tensor([-0.3333])
"tensor(-0.3126, device='cuda:0')",tensor([-0.3255])
"tensor(0.1310, device='cuda:0')",tensor([-0.3176])
"tensor(0.1415, device='cuda:0')",tensor([-0.3098])
"tensor(-0.0018, device='cuda:0')",tensor([-0.3020])
"tensor(-0.5856, device='cuda:0')",tensor([-0.2941])
"tensor(-0.0254, device='cuda:0')",tensor([-0.2863])
"tensor(-0.1812, device='cuda:0')",tensor([-0.2784])
"tensor(-0.0557, device='cuda:0')",tensor([-0.2706])
"tensor(-0.2038, device='cuda:0')",tensor([-0.2627])
"tensor(0.0252, device='cuda:0')",tensor([-0.2549])
"tensor(-0.9310, device='cuda:0')",tensor([-0.2471])
"tensor(0.3124, device='cuda:0')",tensor([-0.2392])
