tensor(0.9077),tensor([-10.])
tensor(0.9050),tensor([-9.9216])
tensor(0.9023),tensor([-9.8431])
tensor(0.8995),tensor([-9.7647])
tensor(0.8967),tensor([-9.6863])
tensor(0.8939),tensor([-9.6078])
tensor(0.8910),tensor([-9.5294])
tensor(0.8881),tensor([-9.4510])
tensor(0.8852),tensor([-9.3725])
tensor(0.8822),tensor([-9.2941])
tensor(0.8792),tensor([-9.2157])
tensor(0.8762),tensor([-9.1373])
tensor(0.8732),tensor([-9.0588])
tensor(0.8701),tensor([-8.9804])
tensor(0.8671),tensor([-8.9020])
tensor(0.8640),tensor([-8.8235])
tensor(0.8608),tensor([-8.7451])
tensor(0.8577),tensor([-8.6667])
tensor(0.8545),tensor([-8.5882])
tensor(0.8513),tensor([-8.5098])
tensor(0.8481),tensor([-8.4314])
tensor(0.8448),tensor([-8.3529])
tensor(0.8415),tensor([-8.2745])
tensor(0.8383),tensor([-8.1961])
tensor(0.8349),tensor([-8.1176])
tensor(0.8316),tensor([-8.0392])
tensor(0.8283),tensor([-7.9608])
tensor(0.8249),tensor([-7.8824])
tensor(0.8215),tensor([-7.8039])
tensor(0.8181),tensor([-7.7255])
tensor(0.8147),tensor([-7.6471])
tensor(0.8112),tensor([-7.5686])
tensor(0.8078),tensor([-7.4902])
tensor(0.8043),tensor([-7.4118])
tensor(0.8008),tensor([-7.3333])
tensor(0.7973),tensor([-7.2549])
tensor(0.7938),tensor([-7.1765])
tensor(0.7902),tensor([-7.0980])
tensor(0.7867),tensor([-7.0196])
tensor(0.7831),tensor([-6.9412])
tensor(0.7796),tensor([-6.8627])
tensor(0.7760),tensor([-6.7843])
tensor(0.7724),tensor([-6.7059])
tensor(0.7687),tensor([-6.6275])
tensor(0.7651),tensor([-6.5490])
tensor(0.7615),tensor([-6.4706])
tensor(0.7578),tensor([-6.3922])
tensor(0.7542),tensor([-6.3137])
tensor(0.7505),tensor([-6.2353])
tensor(0.7468),tensor([-6.1569])
tensor(0.7432),tensor([-6.0784])
tensor(0.7395),tensor([-6.])
tensor(0.7358),tensor([-5.9216])
tensor(0.7321),tensor([-5.8431])
tensor(0.7284),tensor([-5.7647])
tensor(0.7246),tensor([-5.6863])
tensor(0.7209),tensor([-5.6078])
tensor(0.7172),tensor([-5.5294])
tensor(0.7134),tensor([-5.4510])
tensor(0.7097),tensor([-5.3725])
tensor(0.9873),tensor([-5.2941])
tensor(0.9862),tensor([-5.2157])
tensor(0.9850),tensor([-5.1373])
tensor(0.9838),tensor([-5.0588])
tensor(0.9826),tensor([-4.9804])
tensor(0.9813),tensor([-4.9020])
tensor(0.9799),tensor([-4.8235])
tensor(0.9786),tensor([-4.7451])
tensor(0.9771),tensor([-4.6667])
tensor(0.9757),tensor([-4.5882])
tensor(0.9742),tensor([-4.5098])
tensor(0.9726),tensor([-4.4314])
tensor(0.9710),tensor([-4.3529])
tensor(0.9694),tensor([-4.2745])
tensor(0.9677),tensor([-4.1961])
tensor(0.9660),tensor([-4.1176])
tensor(0.9642),tensor([-4.0392])
tensor(0.9624),tensor([-3.9608])
tensor(0.9605),tensor([-3.8824])
tensor(0.9586),tensor([-3.8039])
tensor(0.9567),tensor([-3.7255])
tensor(0.9547),tensor([-3.6471])
tensor(0.9527),tensor([-3.5686])
tensor(0.9507),tensor([-3.4902])
tensor(0.9486),tensor([-3.4118])
tensor(0.9465),tensor([-3.3333])
tensor(0.9443),tensor([-3.2549])
tensor(0.9421),tensor([-3.1765])
tensor(0.9399),tensor([-3.0980])
tensor(0.9376),tensor([-3.0196])
tensor(0.9353),tensor([-2.9412])
tensor(0.9329),tensor([-2.8627])
tensor(0.9306),tensor([-2.7843])
tensor(0.9281),tensor([-2.7059])
tensor(0.9257),tensor([-2.6275])
tensor(0.9232),tensor([-2.5490])
tensor(0.9207),tensor([-2.4706])
tensor(0.9181),tensor([-2.3922])
tensor(0.9155),tensor([-2.3137])
tensor(0.9129),tensor([-2.2353])
tensor(0.9103),tensor([-2.1569])
tensor(0.9076),tensor([-2.0784])
tensor(0.9049),tensor([-2.])
tensor(0.9021),tensor([-1.9216])
tensor(0.8993),tensor([-1.8431])
tensor(0.8965),tensor([-1.7647])
tensor(0.8937),tensor([-1.6863])
tensor(0.8908),tensor([-1.6078])
tensor(0.8879),tensor([-1.5294])
tensor(0.8850),tensor([-1.4510])
tensor(0.8821),tensor([-1.3725])
tensor(0.8791),tensor([-1.2941])
tensor(0.8761),tensor([-1.2157])
tensor(0.8730),tensor([-1.1373])
tensor(0.8700),tensor([-1.0588])
tensor(0.8669),tensor([-0.9804])
tensor(0.8638),tensor([-0.9020])
tensor(0.8607),tensor([-0.8235])
tensor(0.8575),tensor([-0.7451])
tensor(0.8543),tensor([-0.6667])
tensor(0.8511),tensor([-0.5882])
tensor(0.8479),tensor([-0.5098])
tensor(0.8446),tensor([-0.4314])
tensor(0.8414),tensor([-0.3529])
tensor(0.8381),tensor([-0.2745])
tensor(0.8348),tensor([-0.1961])
tensor(0.8314),tensor([-0.1176])
tensor(0.8281),tensor([-0.0392])
tensor(0.8247),tensor([0.0392])
tensor(0.8213),tensor([0.1176])
tensor(0.8179),tensor([0.1961])
tensor(0.8145),tensor([0.2745])
tensor(0.8110),tensor([0.3529])
tensor(0.8076),tensor([0.4314])
tensor(0.8041),tensor([0.5098])
tensor(0.8006),tensor([0.5882])
tensor(0.7971),tensor([0.6667])
tensor(0.7936),tensor([0.7451])
tensor(0.7900),tensor([0.8235])
tensor(0.7865),tensor([0.9020])
tensor(0.7829),tensor([0.9804])
tensor(0.7794),tensor([1.0588])
tensor(0.7758),tensor([1.1373])
tensor(0.7722),tensor([1.2157])
tensor(0.7685),tensor([1.2941])
tensor(0.7649),tensor([1.3725])
tensor(0.7613),tensor([1.4510])
tensor(0.7576),tensor([1.5294])
tensor(0.7540),tensor([1.6078])
tensor(0.7503),tensor([1.6863])
tensor(0.7466),tensor([1.7647])
tensor(0.7430),tensor([1.8431])
tensor(0.7393),tensor([1.9216])
tensor(0.7356),tensor([2.])
tensor(0.7319),tensor([2.0784])
tensor(0.7281),tensor([2.1569])
tensor(0.7244),tensor([2.2353])
tensor(0.7207),tensor([2.3137])
tensor(0.7170),tensor([2.3922])
tensor(0.7132),tensor([2.4706])
tensor(0.9883),tensor([2.5490])
tensor(0.9872),tensor([2.6275])
tensor(0.9861),tensor([2.7059])
tensor(0.9850),tensor([2.7843])
tensor(0.9837),tensor([2.8627])
tensor(0.9825),tensor([2.9412])
tensor(0.9812),tensor([3.0196])
tensor(0.9799),tensor([3.0980])
tensor(0.9785),tensor([3.1765])
tensor(0.9771),tensor([3.2549])
tensor(0.9756),tensor([3.3333])
tensor(0.9741),tensor([3.4118])
tensor(0.9725),tensor([3.4902])
tensor(0.9709),tensor([3.5686])
tensor(0.9693),tensor([3.6471])
tensor(0.9676),tensor([3.7255])
tensor(0.9659),tensor([3.8039])
tensor(0.9641),tensor([3.8824])
tensor(0.9623),tensor([3.9608])
tensor(0.9604),tensor([4.0392])
tensor(0.9585),tensor([4.1176])
tensor(0.9566),tensor([4.1961])
tensor(0.9546),tensor([4.2745])
tensor(0.9526),tensor([4.3529])
tensor(0.9506),tensor([4.4314])
tensor(0.9485),tensor([4.5098])
tensor(0.9464),tensor([4.5882])
tensor(0.9442),tensor([4.6667])
tensor(0.9420),tensor([4.7451])
tensor(0.9398),tensor([4.8235])
tensor(0.9375),tensor([4.9020])
tensor(0.9352),tensor([4.9804])
tensor(0.9328),tensor([5.0588])
tensor(0.9304),tensor([5.1373])
tensor(0.9280),tensor([5.2157])
tensor(0.9256),tensor([5.2941])
tensor(0.9231),tensor([5.3725])
tensor(0.9205),tensor([5.4510])
tensor(0.9180),tensor([5.5294])
tensor(0.9154),tensor([5.6078])
tensor(0.9128),tensor([5.6863])
tensor(0.9101),tensor([5.7647])
tensor(0.9074),tensor([5.8431])
tensor(0.9047),tensor([5.9216])
tensor(0.9020),tensor([6.])
tensor(0.8992),tensor([6.0784])
tensor(0.8964),tensor([6.1569])
tensor(0.8935),tensor([6.2353])
tensor(0.8907),tensor([6.3137])
tensor(0.8878),tensor([6.3922])
tensor(0.8848),tensor([6.4706])
tensor(0.8819),tensor([6.5490])
tensor(0.8789),tensor([6.6275])
tensor(0.8759),tensor([6.7059])
tensor(0.8729),tensor([6.7843])
tensor(0.8698),tensor([6.8627])
tensor(0.8667),tensor([6.9412])
tensor(0.8636),tensor([7.0196])
tensor(0.8605),tensor([7.0980])
tensor(0.8573),tensor([7.1765])
tensor(0.8541),tensor([7.2549])
tensor(0.8509),tensor([7.3333])
tensor(0.8477),tensor([7.4118])
tensor(0.8445),tensor([7.4902])
tensor(0.8412),tensor([7.5686])
tensor(0.8379),tensor([7.6471])
tensor(0.8346),tensor([7.7255])
tensor(0.8312),tensor([7.8039])
tensor(0.8279),tensor([7.8824])
tensor(0.8245),tensor([7.9608])
tensor(0.8211),tensor([8.0392])
tensor(0.8177),tensor([8.1176])
tensor(0.8143),tensor([8.1961])
tensor(0.8108),tensor([8.2745])
tensor(0.8074),tensor([8.3529])
tensor(0.8039),tensor([8.4314])
tensor(0.8004),tensor([8.5098])
tensor(0.7969),tensor([8.5882])
tensor(0.7934),tensor([8.6667])
tensor(0.7898),tensor([8.7451])
tensor(0.7863),tensor([8.8235])
tensor(0.7827),tensor([8.9020])
tensor(0.7792),tensor([8.9804])
tensor(0.7756),tensor([9.0588])
tensor(0.7720),tensor([9.1373])
tensor(0.7683),tensor([9.2157])
tensor(0.7647),tensor([9.2941])
tensor(0.7611),tensor([9.3725])
tensor(0.7574),tensor([9.4510])
tensor(0.7538),tensor([9.5294])
tensor(0.7501),tensor([9.6078])
tensor(0.7464),tensor([9.6863])
tensor(0.7428),tensor([9.7647])
tensor(0.7391),tensor([9.8431])
tensor(0.7354),tensor([9.9216])
tensor(0.7317),tensor([10.])
