"tensor(0.6781, device='cuda:0')",tensor([-10.])
"tensor(1.1079, device='cuda:0')",tensor([-9.9216])
"tensor(0.7264, device='cuda:0')",tensor([-9.8431])
"tensor(1.0034, device='cuda:0')",tensor([-9.7647])
"tensor(0.9065, device='cuda:0')",tensor([-9.6863])
"tensor(1.0578, device='cuda:0')",tensor([-9.6078])
"tensor(0.8754, device='cuda:0')",tensor([-9.5294])
"tensor(1.1129, device='cuda:0')",tensor([-9.4510])
"tensor(0.9276, device='cuda:0')",tensor([-9.3725])
"tensor(0.9303, device='cuda:0')",tensor([-9.2941])
"tensor(0.9977, device='cuda:0')",tensor([-9.2157])
"tensor(0.7486, device='cuda:0')",tensor([-9.1373])
"tensor(0.8584, device='cuda:0')",tensor([-9.0588])
"tensor(0.9523, device='cuda:0')",tensor([-8.9804])
"tensor(0.6647, device='cuda:0')",tensor([-8.9020])
"tensor(1.3575, device='cuda:0')",tensor([-8.8235])
"tensor(1.3025, device='cuda:0')",tensor([-8.7451])
"tensor(0.8635, device='cuda:0')",tensor([-8.6667])
"tensor(1.0466, device='cuda:0')",tensor([-8.5882])
"tensor(0.8928, device='cuda:0')",tensor([-8.5098])
"tensor(0.4066, device='cuda:0')",tensor([-8.4314])
"tensor(0.6970, device='cuda:0')",tensor([-8.3529])
"tensor(1.1167, device='cuda:0')",tensor([-8.2745])
"tensor(1.1531, device='cuda:0')",tensor([-8.1961])
"tensor(1.2318, device='cuda:0')",tensor([-8.1176])
"tensor(0.8475, device='cuda:0')",tensor([-8.0392])
"tensor(1.0356, device='cuda:0')",tensor([-7.9608])
"tensor(0.9189, device='cuda:0')",tensor([-7.8824])
"tensor(1.3055, device='cuda:0')",tensor([-7.8039])
"tensor(0.8884, device='cuda:0')",tensor([-7.7255])
"tensor(0.6638, device='cuda:0')",tensor([-7.6471])
"tensor(1.0485, device='cuda:0')",tensor([-7.5686])
"tensor(0.6746, device='cuda:0')",tensor([-7.4902])
"tensor(0.8053, device='cuda:0')",tensor([-7.4118])
"tensor(1.1200, device='cuda:0')",tensor([-7.3333])
"tensor(0.8183, device='cuda:0')",tensor([-7.2549])
"tensor(1.2211, device='cuda:0')",tensor([-7.1765])
"tensor(1.3046, device='cuda:0')",tensor([-7.0980])
"tensor(1.3722, device='cuda:0')",tensor([-7.0196])
"tensor(1.1024, device='cuda:0')",tensor([-6.9412])
"tensor(0.8058, device='cuda:0')",tensor([-6.8627])
"tensor(1.0119, device='cuda:0')",tensor([-6.7843])
"tensor(0.7828, device='cuda:0')",tensor([-6.7059])
"tensor(1.0178, device='cuda:0')",tensor([-6.6275])
"tensor(0.9632, device='cuda:0')",tensor([-6.5490])
"tensor(0.7755, device='cuda:0')",tensor([-6.4706])
"tensor(1.1669, device='cuda:0')",tensor([-6.3922])
"tensor(0.9512, device='cuda:0')",tensor([-6.3137])
"tensor(0.7736, device='cuda:0')",tensor([-6.2353])
"tensor(1.1229, device='cuda:0')",tensor([-6.1569])
"tensor(1.1458, device='cuda:0')",tensor([-6.0784])
"tensor(0.9474, device='cuda:0')",tensor([-6.])
"tensor(1.2531, device='cuda:0')",tensor([-5.9216])
"tensor(1.0654, device='cuda:0')",tensor([-5.8431])
"tensor(1.3792, device='cuda:0')",tensor([-5.7647])
"tensor(1.2464, device='cuda:0')",tensor([-5.6863])
"tensor(1.2654, device='cuda:0')",tensor([-5.6078])
"tensor(0.7362, device='cuda:0')",tensor([-5.5294])
"tensor(1.1920, device='cuda:0')",tensor([-5.4510])
"tensor(1.2096, device='cuda:0')",tensor([-5.3725])
"tensor(0.6911, device='cuda:0')",tensor([-5.2941])
"tensor(0.7916, device='cuda:0')",tensor([-5.2157])
"tensor(1.0175, device='cuda:0')",tensor([-5.1373])
"tensor(0.8204, device='cuda:0')",tensor([-5.0588])
"tensor(1.0548, device='cuda:0')",tensor([-4.9804])
"tensor(1.0553, device='cuda:0')",tensor([-4.9020])
"tensor(1.1600, device='cuda:0')",tensor([-4.8235])
"tensor(1.3593, device='cuda:0')",tensor([-4.7451])
"tensor(1.0958, device='cuda:0')",tensor([-4.6667])
"tensor(1.1355, device='cuda:0')",tensor([-4.5882])
"tensor(0.9106, device='cuda:0')",tensor([-4.5098])
"tensor(1.2655, device='cuda:0')",tensor([-4.4314])
"tensor(1.2292, device='cuda:0')",tensor([-4.3529])
"tensor(0.5248, device='cuda:0')",tensor([-4.2745])
"tensor(0.6690, device='cuda:0')",tensor([-4.1961])
"tensor(0.6268, device='cuda:0')",tensor([-4.1176])
"tensor(1.2910, device='cuda:0')",tensor([-4.0392])
"tensor(1.3444, device='cuda:0')",tensor([-3.9608])
"tensor(0.7737, device='cuda:0')",tensor([-3.8824])
"tensor(1.3238, device='cuda:0')",tensor([-3.8039])
"tensor(1.1998, device='cuda:0')",tensor([-3.7255])
"tensor(1.2320, device='cuda:0')",tensor([-3.6471])
"tensor(1.1732, device='cuda:0')",tensor([-3.5686])
"tensor(0.8903, device='cuda:0')",tensor([-3.4902])
"tensor(1.1907, device='cuda:0')",tensor([-3.4118])
"tensor(1.0586, device='cuda:0')",tensor([-3.3333])
"tensor(0.8572, device='cuda:0')",tensor([-3.2549])
"tensor(0.4232, device='cuda:0')",tensor([-3.1765])
"tensor(1.1694, device='cuda:0')",tensor([-3.0980])
"tensor(0.6672, device='cuda:0')",tensor([-3.0196])
"tensor(0.3709, device='cuda:0')",tensor([-2.9412])
"tensor(0.9754, device='cuda:0')",tensor([-2.8627])
"tensor(0.7247, device='cuda:0')",tensor([-2.7843])
"tensor(0.8602, device='cuda:0')",tensor([-2.7059])
"tensor(0.7154, device='cuda:0')",tensor([-2.6275])
"tensor(0.6709, device='cuda:0')",tensor([-2.5490])
"tensor(1.1317, device='cuda:0')",tensor([-2.4706])
"tensor(1.0799, device='cuda:0')",tensor([-2.3922])
"tensor(0.8332, device='cuda:0')",tensor([-2.3137])
"tensor(0.9361, device='cuda:0')",tensor([-2.2353])
"tensor(1.0875, device='cuda:0')",tensor([-2.1569])
"tensor(0.7013, device='cuda:0')",tensor([-2.0784])
"tensor(0.8125, device='cuda:0')",tensor([-2.])
"tensor(0.7469, device='cuda:0')",tensor([-1.9216])
"tensor(0.8390, device='cuda:0')",tensor([-1.8431])
"tensor(1.0026, device='cuda:0')",tensor([-1.7647])
"tensor(0.4163, device='cuda:0')",tensor([-1.6863])
"tensor(1.1451, device='cuda:0')",tensor([-1.6078])
"tensor(0.9516, device='cuda:0')",tensor([-1.5294])
"tensor(0.8761, device='cuda:0')",tensor([-1.4510])
"tensor(0.9825, device='cuda:0')",tensor([-1.3725])
"tensor(0.3699, device='cuda:0')",tensor([-1.2941])
"tensor(0.8435, device='cuda:0')",tensor([-1.2157])
"tensor(1.1178, device='cuda:0')",tensor([-1.1373])
"tensor(1.2289, device='cuda:0')",tensor([-1.0588])
"tensor(0.3573, device='cuda:0')",tensor([-0.9804])
"tensor(0.9490, device='cuda:0')",tensor([-0.9020])
"tensor(0.5076, device='cuda:0')",tensor([-0.8235])
"tensor(0.7868, device='cuda:0')",tensor([-0.7451])
"tensor(0.9407, device='cuda:0')",tensor([-0.6667])
"tensor(0.9631, device='cuda:0')",tensor([-0.5882])
"tensor(0.9427, device='cuda:0')",tensor([-0.5098])
"tensor(0.5595, device='cuda:0')",tensor([-0.4314])
"tensor(1.1181, device='cuda:0')",tensor([-0.3529])
"tensor(1.1170, device='cuda:0')",tensor([-0.2745])
"tensor(0.3611, device='cuda:0')",tensor([-0.1961])
"tensor(0.9384, device='cuda:0')",tensor([-0.1176])
"tensor(0.7170, device='cuda:0')",tensor([-0.0392])
"tensor(1.1640, device='cuda:0')",tensor([0.0392])
"tensor(0.7644, device='cuda:0')",tensor([0.1176])
"tensor(0.6945, device='cuda:0')",tensor([0.1961])
"tensor(0.7245, device='cuda:0')",tensor([0.2745])
"tensor(0.7245, device='cuda:0')",tensor([0.3529])
"tensor(0.7025, device='cuda:0')",tensor([0.4314])
"tensor(1.1353, device='cuda:0')",tensor([0.5098])
"tensor(0.4153, device='cuda:0')",tensor([0.5882])
"tensor(1.1171, device='cuda:0')",tensor([0.6667])
"tensor(0.6977, device='cuda:0')",tensor([0.7451])
"tensor(1.1533, device='cuda:0')",tensor([0.8235])
"tensor(0.5275, device='cuda:0')",tensor([0.9020])
"tensor(1.1942, device='cuda:0')",tensor([0.9804])
"tensor(0.9588, device='cuda:0')",tensor([1.0588])
"tensor(0.8959, device='cuda:0')",tensor([1.1373])
"tensor(1.0258, device='cuda:0')",tensor([1.2157])
"tensor(0.8962, device='cuda:0')",tensor([1.2941])
"tensor(0.4038, device='cuda:0')",tensor([1.3725])
"tensor(0.8483, device='cuda:0')",tensor([1.4510])
"tensor(0.8401, device='cuda:0')",tensor([1.5294])
"tensor(1.2446, device='cuda:0')",tensor([1.6078])
"tensor(0.6238, device='cuda:0')",tensor([1.6863])
"tensor(0.9534, device='cuda:0')",tensor([1.7647])
"tensor(0.6493, device='cuda:0')",tensor([1.8431])
"tensor(0.3158, device='cuda:0')",tensor([1.9216])
"tensor(0.6453, device='cuda:0')",tensor([2.])
"tensor(1.0145, device='cuda:0')",tensor([2.0784])
"tensor(0.6946, device='cuda:0')",tensor([2.1569])
"tensor(0.8407, device='cuda:0')",tensor([2.2353])
"tensor(0.6556, device='cuda:0')",tensor([2.3137])
"tensor(0.9623, device='cuda:0')",tensor([2.3922])
"tensor(1.0556, device='cuda:0')",tensor([2.4706])
"tensor(0.8652, device='cuda:0')",tensor([2.5490])
"tensor(0.6589, device='cuda:0')",tensor([2.6275])
"tensor(1.0554, device='cuda:0')",tensor([2.7059])
"tensor(1.1482, device='cuda:0')",tensor([2.7843])
"tensor(0.7998, device='cuda:0')",tensor([2.8627])
"tensor(0.9030, device='cuda:0')",tensor([2.9412])
"tensor(1.0432, device='cuda:0')",tensor([3.0196])
"tensor(0.6883, device='cuda:0')",tensor([3.0980])
