"tensor(-0.4639, device='cuda:0')",tensor([-1.])
"tensor(-0.4018, device='cuda:0')",tensor([-0.9922])
"tensor(0.2425, device='cuda:0')",tensor([-0.9843])
"tensor(0.2088, device='cuda:0')",tensor([-0.9765])
"tensor(-0.1302, device='cuda:0')",tensor([-0.9686])
"tensor(-0.0251, device='cuda:0')",tensor([-0.9608])
"tensor(0.0331, device='cuda:0')",tensor([-0.9529])
"tensor(-0.3988, device='cuda:0')",tensor([-0.9451])
"tensor(0.0596, device='cuda:0')",tensor([-0.9373])
"tensor(-0.2878, device='cuda:0')",tensor([-0.9294])
"tensor(-0.3215, device='cuda:0')",tensor([-0.9216])
"tensor(-0.6606, device='cuda:0')",tensor([-0.9137])
"tensor(0.2996, device='cuda:0')",tensor([-0.9059])
"tensor(-0.0378, device='cuda:0')",tensor([-0.8980])
"tensor(0.2377, device='cuda:0')",tensor([-0.8902])
"tensor(-0.3398, device='cuda:0')",tensor([-0.8824])
"tensor(-0.1532, device='cuda:0')",tensor([-0.8745])
"tensor(0.2187, device='cuda:0')",tensor([-0.8667])
"tensor(-0.5150, device='cuda:0')",tensor([-0.8588])
"tensor(-0.2588, device='cuda:0')",tensor([-0.8510])
"tensor(-0.1896, device='cuda:0')",tensor([-0.8431])
"tensor(0.1789, device='cuda:0')",tensor([-0.8353])
"tensor(0.2444, device='cuda:0')",tensor([-0.8275])
"tensor(-0.4379, device='cuda:0')",tensor([-0.8196])
"tensor(0.1081, device='cuda:0')",tensor([-0.8118])
"tensor(-0.3090, device='cuda:0')",tensor([-0.8039])
"tensor(-0.0593, device='cuda:0')",tensor([-0.7961])
"tensor(0.0879, device='cuda:0')",tensor([-0.7882])
"tensor(-0.3253, device='cuda:0')",tensor([-0.7804])
"tensor(-0.3246, device='cuda:0')",tensor([-0.7725])
"tensor(-0.0464, device='cuda:0')",tensor([-0.7647])
"tensor(-0.0688, device='cuda:0')",tensor([-0.7569])
"tensor(-0.4778, device='cuda:0')",tensor([-0.7490])
"tensor(0.1366, device='cuda:0')",tensor([-0.7412])
"tensor(0.0641, device='cuda:0')",tensor([-0.7333])
"tensor(0.2921, device='cuda:0')",tensor([-0.7255])
"tensor(-0.4578, device='cuda:0')",tensor([-0.7176])
"tensor(0.5461, device='cuda:0')",tensor([-0.7098])
"tensor(0.4876, device='cuda:0')",tensor([-0.7020])
"tensor(0.3740, device='cuda:0')",tensor([-0.6941])
"tensor(0.6014, device='cuda:0')",tensor([-0.6863])
"tensor(-0.1986, device='cuda:0')",tensor([-0.6784])
"tensor(-0.3320, device='cuda:0')",tensor([-0.6706])
"tensor(0.1876, device='cuda:0')",tensor([-0.6627])
"tensor(-0.1088, device='cuda:0')",tensor([-0.6549])
"tensor(-0.5007, device='cuda:0')",tensor([-0.6471])
"tensor(-0.2718, device='cuda:0')",tensor([-0.6392])
"tensor(-0.5580, device='cuda:0')",tensor([-0.6314])
"tensor(0.3998, device='cuda:0')",tensor([-0.6235])
"tensor(0.1557, device='cuda:0')",tensor([-0.6157])
"tensor(0.0717, device='cuda:0')",tensor([-0.6078])
"tensor(0.2133, device='cuda:0')",tensor([-0.6000])
"tensor(-0.5778, device='cuda:0')",tensor([-0.5922])
"tensor(-0.0572, device='cuda:0')",tensor([-0.5843])
"tensor(0.2855, device='cuda:0')",tensor([-0.5765])
"tensor(0.5852, device='cuda:0')",tensor([-0.5686])
"tensor(-0.2014, device='cuda:0')",tensor([-0.5608])
"tensor(0.2588, device='cuda:0')",tensor([-0.5529])
"tensor(0.1511, device='cuda:0')",tensor([-0.5451])
"tensor(0.1434, device='cuda:0')",tensor([-0.5373])
"tensor(0.4152, device='cuda:0')",tensor([-0.5294])
"tensor(-0.0295, device='cuda:0')",tensor([-0.5216])
"tensor(-0.2595, device='cuda:0')",tensor([-0.5137])
"tensor(-0.4166, device='cuda:0')",tensor([-0.5059])
"tensor(-0.7162, device='cuda:0')",tensor([-0.4980])
"tensor(-0.0184, device='cuda:0')",tensor([-0.4902])
"tensor(-0.0366, device='cuda:0')",tensor([-0.4824])
"tensor(0.5216, device='cuda:0')",tensor([-0.4745])
"tensor(0.1642, device='cuda:0')",tensor([-0.4667])
"tensor(0.0797, device='cuda:0')",tensor([-0.4588])
"tensor(-0.1135, device='cuda:0')",tensor([-0.4510])
"tensor(0.1213, device='cuda:0')",tensor([-0.4431])
"tensor(0.3531, device='cuda:0')",tensor([-0.4353])
"tensor(-0.0003, device='cuda:0')",tensor([-0.4275])
"tensor(-0.1504, device='cuda:0')",tensor([-0.4196])
"tensor(0.3021, device='cuda:0')",tensor([-0.4118])
"tensor(-0.1963, device='cuda:0')",tensor([-0.4039])
"tensor(-0.5365, device='cuda:0')",tensor([-0.3961])
"tensor(0.3130, device='cuda:0')",tensor([-0.3882])
"tensor(-0.1875, device='cuda:0')",tensor([-0.3804])
"tensor(0.3011, device='cuda:0')",tensor([-0.3725])
"tensor(-0.1930, device='cuda:0')",tensor([-0.3647])
"tensor(-0.1294, device='cuda:0')",tensor([-0.3569])
"tensor(0.4391, device='cuda:0')",tensor([-0.3490])
"tensor(-0.4181, device='cuda:0')",tensor([-0.3412])
"tensor(-0.4827, device='cuda:0')",tensor([-0.3333])
"tensor(0.4357, device='cuda:0')",tensor([-0.3255])
"tensor(-0.3541, device='cuda:0')",tensor([-0.3176])
"tensor(-0.2961, device='cuda:0')",tensor([-0.3098])
"tensor(-0.0856, device='cuda:0')",tensor([-0.3020])
"tensor(-0.4826, device='cuda:0')",tensor([-0.2941])
"tensor(0.4247, device='cuda:0')",tensor([-0.2863])
"tensor(0.4254, device='cuda:0')",tensor([-0.2784])
"tensor(0.3201, device='cuda:0')",tensor([-0.2706])
"tensor(-0.3517, device='cuda:0')",tensor([-0.2627])
"tensor(-0.6238, device='cuda:0')",tensor([-0.2549])
"tensor(0.6058, device='cuda:0')",tensor([-0.2471])
"tensor(-0.0783, device='cuda:0')",tensor([-0.2392])
"tensor(-0.3835, device='cuda:0')",tensor([-0.2314])
"tensor(0.0857, device='cuda:0')",tensor([-0.2235])
"tensor(-0.4250, device='cuda:0')",tensor([-0.2157])
"tensor(-0.3258, device='cuda:0')",tensor([-0.2078])
"tensor(0.4283, device='cuda:0')",tensor([-0.2000])
"tensor(-0.0572, device='cuda:0')",tensor([-0.1922])
"tensor(0.1089, device='cuda:0')",tensor([-0.1843])
"tensor(-0.0603, device='cuda:0')",tensor([-0.1765])
"tensor(0.6243, device='cuda:0')",tensor([-0.1686])
"tensor(-0.1464, device='cuda:0')",tensor([-0.1608])
"tensor(0.1070, device='cuda:0')",tensor([-0.1529])
"tensor(0.4740, device='cuda:0')",tensor([-0.1451])
"tensor(0.0927, device='cuda:0')",tensor([-0.1373])
"tensor(0.5868, device='cuda:0')",tensor([-0.1294])
"tensor(-0.1601, device='cuda:0')",tensor([-0.1216])
"tensor(0.0581, device='cuda:0')",tensor([-0.1137])
"tensor(-0.0094, device='cuda:0')",tensor([-0.1059])
"tensor(-0.4159, device='cuda:0')",tensor([-0.0980])
"tensor(-0.2893, device='cuda:0')",tensor([-0.0902])
"tensor(-0.1364, device='cuda:0')",tensor([-0.0824])
"tensor(0.2544, device='cuda:0')",tensor([-0.0745])
"tensor(0.3172, device='cuda:0')",tensor([-0.0667])
"tensor(0.2571, device='cuda:0')",tensor([-0.0588])
"tensor(-0.1092, device='cuda:0')",tensor([-0.0510])
"tensor(-0.2886, device='cuda:0')",tensor([-0.0431])
"tensor(-0.1344, device='cuda:0')",tensor([-0.0353])
"tensor(-0.1311, device='cuda:0')",tensor([-0.0275])
"tensor(0.0721, device='cuda:0')",tensor([-0.0196])
"tensor(0.4850, device='cuda:0')",tensor([-0.0118])
"tensor(-0.1449, device='cuda:0')",tensor([-0.0039])
"tensor(0.3398, device='cuda:0')",tensor([0.0039])
"tensor(-0.1220, device='cuda:0')",tensor([0.0118])
"tensor(-0.7218, device='cuda:0')",tensor([0.0196])
"tensor(-0.1272, device='cuda:0')",tensor([0.0275])
"tensor(-0.3398, device='cuda:0')",tensor([0.0353])
"tensor(0.2608, device='cuda:0')",tensor([0.0431])
