tensor(1.9954e-16),tensor([-1.])
tensor(0.0070),tensor([-0.9922])
tensor(0.0140),tensor([-0.9843])
tensor(0.0210),tensor([-0.9765])
tensor(0.0280),tensor([-0.9686])
tensor(0.0350),tensor([-0.9608])
tensor(0.0420),tensor([-0.9529])
tensor(0.0490),tensor([-0.9451])
tensor(0.0560),tensor([-0.9373])
tensor(0.0630),tensor([-0.9294])
tensor(0.0700),tensor([-0.9216])
tensor(0.0770),tensor([-0.9137])
tensor(0.0840),tensor([-0.9059])
tensor(0.0909),tensor([-0.8980])
tensor(0.0979),tensor([-0.8902])
tensor(0.1049),tensor([-0.8824])
tensor(0.1119),tensor([-0.8745])
tensor(0.1189),tensor([-0.8667])
tensor(0.1259),tensor([-0.8588])
tensor(0.1329),tensor([-0.8510])
tensor(0.1398),tensor([-0.8431])
tensor(0.1468),tensor([-0.8353])
tensor(0.1538),tensor([-0.8275])
tensor(0.1608),tensor([-0.8196])
tensor(0.1677),tensor([-0.8118])
tensor(0.1747),tensor([-0.8039])
tensor(0.1817),tensor([-0.7961])
tensor(0.1886),tensor([-0.7882])
tensor(0.1956),tensor([-0.7804])
tensor(0.2026),tensor([-0.7725])
tensor(0.2095),tensor([-0.7647])
tensor(0.2165),tensor([-0.7569])
tensor(0.2234),tensor([-0.7490])
tensor(0.2303),tensor([-0.7412])
tensor(0.2373),tensor([-0.7333])
tensor(0.2442),tensor([-0.7255])
tensor(0.2512),tensor([-0.7176])
tensor(0.2581),tensor([-0.7098])
tensor(0.2650),tensor([-0.7020])
tensor(0.2719),tensor([-0.6941])
tensor(0.2789),tensor([-0.6863])
tensor(0.2858),tensor([-0.6784])
tensor(0.2927),tensor([-0.6706])
tensor(0.2996),tensor([-0.6627])
tensor(0.3065),tensor([-0.6549])
tensor(0.3134),tensor([-0.6471])
tensor(0.3203),tensor([-0.6392])
tensor(0.3271),tensor([-0.6314])
tensor(0.3340),tensor([-0.6235])
tensor(0.3409),tensor([-0.6157])
tensor(0.3478),tensor([-0.6078])
